"Comment","Designator","Footprint","LCSC Part #"
"SW_Push","BOOT1","SKQG-1155865","C318884"
"10uF","C1","C_0805_2012Metric","C91245"
"0.1uF","C2,C3","C_0805_2012Metric","C49678"
"22pF","C7,C8","C_0805_2012Metric","C1804"
"D_Small","D3,D1,D2,D4,D5,D6","D_SOT-23_ANK","C68978"
"D_Zener_Small","D8,D7","D_SOD-123","C173412"
"Polyfuse_Small","F1","Fuse_1206_3216Metric","C163133"
"AO3401A","Q1","SOT-23","C15127"
"1k","R1,R3,R4,R10,R14,R13,R12,R11,R15,R16,R17,R18","R_0805_2012Metric","C17513"
"10k","R2,R20","R_0805_2012Metric","C17414"
"5.1k","R5,R6","R_0805_2012Metric","C27834"
"68R","R7,R8","R_0805_2012Metric","C17802"
"1.5K","R9","R_0805_2012Metric","C4310"
"100r","R19","R_0805_2012Metric","C17408"
"SW_Push","RESET1","SKQG-1155865","C318884"
"ATmega328P-AU","U1","TQFP-32_7x7mm_P0.8mm","C14877"
"SRV05-4","U2","SOT-23-6","C85364"
"Crystal_GND24_Small","X1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
